anomaly_name,category,severity,trigger,endpoints,dashboard_surface,source_file
Payroll Run Calculation Error,Workforce,CRITICAL,grossPay calculation exception,POST /workforce/payroll-runs/:id/calculate,Error → Sentry alert → manual review required,services/api/src/workforce/payroll-runs.service.ts
Payroll Run Imbalanced,Workforce,CRITICAL,sum(netPay) != expected total,POST /workforce/payroll-runs/:id/calculate,Error → calculation must be retried → audit,services/api/src/workforce/payroll-runs.service.ts
Payslip Generation Failure,Workforce,HIGH,PDF generation error,GET /workforce/payslips/:id,Error → retry → fallback to HTML view,services/api/src/workforce/payslips.service.ts
Labor Cost Overrun,Workforce,HIGH,Actual labor cost > labor target * 1.2,GET /workforce/labor/reports,Dashboard shows alert → manager notification,services/api/src/workforce/reports.service.ts
Auto-Scheduler Constraints Unsatisfied,Workforce,MEDIUM,Cannot generate schedule meeting all constraints,POST /workforce/auto-scheduler/generate,Warning → partial schedule generated → manual fixes needed,services/api/src/workforce/workforce-auto-scheduler.service.ts
Waiter Performance Drop,Analytics,MEDIUM,feedbackScore < 3.0 OR voidRate > 15%,GET /staff/waiters/risk-staff,Manager dashboard shows alert → coaching recommended,services/api/src/staff/staff.controller.ts#L101
Feedback NPS Critical,Analytics,HIGH,NPS score < 0 for period,GET /feedback/nps-summary,Dashboard alert → management review → action plan,services/api/src/feedback/feedback.controller.ts
Prometheus Scrape Failure,Monitoring,HIGH,Prometheus cannot scrape /ops/metrics,GET /ops/metrics,Prometheus alert → metrics gap in Grafana,services/api/src/observability/metrics.controller.ts
OpenTelemetry Export Failure,Monitoring,MEDIUM,OTEL SDK export error,N/A (internal),Error logs → Sentry alert → tracing gaps,services/api/src/main.ts#L40-L60
Sentry Event Dropped,Monitoring,LOW,Sentry rate limit or quota exceeded,N/A (internal),Error not captured → review Sentry quota,services/api/src/common/sentry.filter.ts
Log Volume Spike,Monitoring,MEDIUM,Log entries > 10k/min,ALL endpoints,Pino logger overflow → potential disk space issue,services/api/src/common/logger.service.ts
Database Query Slow,Performance,MEDIUM,Query execution time > 1000ms,ALL database queries,Slow query log → Prisma debug → index optimization,packages/db/prisma/schema.prisma
API Response Time High,Performance,HIGH,P95 latency > 500ms OR P99 > 1000ms,ALL /api/* endpoints,Prometheus alert → Grafana dashboard → investigation,services/api/src/common/perf.interceptor.ts
Memory Leak Detected,Performance,CRITICAL,Heap size grows continuously without GC,N/A (runtime),Node.js memory alert → heap snapshot → code review,services/api/src/main.ts
CPU Usage High,Performance,HIGH,CPU > 80% for >5 min,N/A (runtime),Prometheus alert → profiling → optimization,services/api/src/main.ts
Disk Space Low,Infrastructure,CRITICAL,Disk usage > 90%,N/A (OS-level),Docker/K8s alert → log rotation → volume expansion,infra/docker/Dockerfile
Idempotency Key Collision,Concurrency,MEDIUM,Duplicate Idempotency-Key with different request body,ALL POST/PATCH endpoints,409 Conflict response → client retry with new key,services/api/src/common/idempotency.middleware.ts
Webhook Delivery Failure,Integration,HIGH,MTN/Airtel/Billing webhook returns 500,POST /webhooks/mtn | POST /webhooks/airtel | POST /webhooks/billing,Retry queue → eventual manual reconciliation,services/api/src/webhooks.controller.ts
