model,domain,key_fields,key_relations,source_file
ProductionOrderRecipe,Inventory,id | productionOrderId | recipeId | targetQuantity | actualYield | costPerUnit | totalCost,ProductionOrder | Recipe | ProductionOrderConsumptions,packages/db/prisma/schema.prisma#L1059-L1076
ProductionOrderConsumption,Inventory,id | productionOrderRecipeId | inventoryItemId | quantityRequired | quantityActual | unitCost | totalCost,ProductionOrderRecipe | InventoryItem,packages/db/prisma/schema.prisma#L1078-L1096
Recipe,Inventory,id | orgId | name | recipeType | targetYield | yieldUoM | costPerUnit | batchSize,Org | RecipeIngredients | ProductionOrders | RecipePortions,packages/db/prisma/schema.prisma#L1098-L1123
RecipeIngredient,Inventory,id | recipeId | inventoryItemId | quantity | wastagePercentage,Recipe | InventoryItem,packages/db/prisma/schema.prisma#L1125-L1140
RecipePortion,Menu-Inventory,id | recipeId | menuItemId | portionSize,Recipe | MenuItem,packages/db/prisma/schema.prisma#L1142-L1153
Transfer,Inventory,id | fromBranchId | toBranchId | transferNumber | status | shipDate | receiveDate | shippedBy | receivedBy,Branch | Branch | User | TransferItems,packages/db/prisma/schema.prisma#L1155-L1186
TransferItem,Inventory,id | transferId | inventoryItemId | quantityShipped | quantityReceived | unitCost | totalCost,Transfer | InventoryItem,packages/db/prisma/schema.prisma#L1188-L1207
Adjustment,Inventory,id | branchId | adjustmentNumber | reason | status | adjustmentDate | postedAt | createdBy | postedBy,Branch | User | AdjustmentItems,packages/db/prisma/schema.prisma#L1209-L1235
AdjustmentItem,Inventory,id | adjustmentId | inventoryItemId | quantityAdjustment | unitCost | totalCost | reason,Adjustment | InventoryItem,packages/db/prisma/schema.prisma#L1237-L1253
WasteEntry,Inventory,id | branchId | wasteNumber | status | totalCost | wasteDate | postedAt | recordedBy | postedBy,Branch | User | WasteItems,packages/db/prisma/schema.prisma#L1255-L1281
WasteItem,Inventory,id | wasteEntryId | inventoryItemId | quantity | unitCost | totalCost | reason,WasteEntry | InventoryItem,packages/db/prisma/schema.prisma#L1283-L1300
Stocktake,Inventory,id | branchId | stocktakeNumber | status | startDate | submitDate | approvedDate | postedDate | createdBy | submittedBy | approvedBy | postedBy,Branch | User | StocktakeRecords | StocktakeVariances,packages/db/prisma/schema.prisma#L1302-L1338
StocktakeRecord,Inventory,id | stocktakeId | inventoryItemId | systemStock | countedStock | variance | unitCost | varianceCost,Stocktake | InventoryItem,packages/db/prisma/schema.prisma#L1340-L1360
StocktakeVariance,Inventory,id | stocktakeId | inventoryItemId | variance | varianceCost | reason,Stocktake | InventoryItem,packages/db/prisma/schema.prisma#L1362-L1378
Vendor,Accounting,id | orgId | name | email | phoneNumber | contactPerson | terms | notes,Org | VendorBills | VendorPayments | PurchaseOrders | Receipts,packages/db/prisma/schema.prisma#L1380-L1406
VendorBill,Accounting,id | branchId | vendorId | billNumber | referenceNumber | billDate | dueDate | totalAmount | paidAmount | status | createdBy | approvedBy,Branch | Vendor | User | VendorBillItems | VendorPayments,packages/db/prisma/schema.prisma#L1408-L1446
VendorBillItem,Accounting,id | billId | inventoryItemId | description | quantity | unitPrice | totalAmount,VendorBill | InventoryItem,packages/db/prisma/schema.prisma#L1448-L1464
VendorPayment,Accounting,id | branchId | vendorId | billId | paymentNumber | paymentDate | amount | method | notes | recordedBy,Branch | Vendor | VendorBill | User,packages/db/prisma/schema.prisma#L1466-L1491
CustomerInvoice,Accounting,id | branchId | customerId | invoiceNumber | issueDate | dueDate | totalAmount | paidAmount | status | createdBy,Branch | Customer | User | CustomerInvoiceItems | CustomerReceipts,packages/db/prisma/schema.prisma#L1493-L1523
CustomerInvoiceItem,Accounting,id | invoiceId | description | quantity | unitPrice | totalAmount,CustomerInvoice,packages/db/prisma/schema.prisma#L1525-L1538
CustomerReceipt,Accounting,id | branchId | customerId | invoiceId | receiptNumber | receiptDate | amount | method | notes | recordedBy,Branch | Customer | CustomerInvoice | User,packages/db/prisma/schema.prisma#L1540-L1565
Account,Accounting,id | orgId | accountCode | accountName | accountType | isSystem | balance,Org | JournalLines | SubAccounts,packages/db/prisma/schema.prisma#L1567-L1592
JournalEntry,Accounting,id | branchId | journalNumber | description | journalDate | status | postedDate | createdBy | postedBy,Branch | User | JournalLines,packages/db/prisma/schema.prisma#L1594-L1620
JournalLine,Accounting,id | journalEntryId | accountId | debit | credit | description,JournalEntry | Account,packages/db/prisma/schema.prisma#L1622-L1637
PaymentMethod,Accounting,id | orgId | name | type | isActive | accountId,Org | Account,packages/db/prisma/schema.prisma#L1639-L1655
EmployeeProfile,HR,userId | orgId | employeeNumber | hireDate | jobRole | department | status | terminationDate,User | Org | ScheduledShifts | TimeEntries | LeaveRequests | PerformanceReviews,packages/db/prisma/schema.prisma#L1657-L1687
ScheduledShift,Workforce,id | branchId | userId | shiftDate | startTime | endTime | position | status | publishedAt | createdBy,Branch | User | EmployeeProfile | ShiftSwaps | OpenShiftClaims | TimeEntries,packages/db/prisma/schema.prisma#L1689-L1724
TimeEntry,Workforce,id | userId | branchId | shiftId | clockIn | clockOut | breakMinutes | totalMinutes | status | approvedBy,User | Branch | EmployeeProfile | ScheduledShift | User | TimesheetSubmissions,packages/db/prisma/schema.prisma#L1726-L1760
TimesheetSubmission,Workforce,id | userId | payPeriodId | status | submittedAt | approvedAt | approvedBy | rejectedAt | rejectionReason,User | PayPeriod | User | TimeEntries,packages/db/prisma/schema.prisma#L1762-L1785
LeaveRequest,Workforce,id | userId | leaveType | startDate | endDate | totalDays | status | requestedAt | approvedByL3At | approvedByL4At | rejectedAt,User | EmployeeProfile | Users,packages/db/prisma/schema.prisma#L1787-L1820
LeaveBalance,Workforce,id | userId | year | leaveType | entitledDays | usedDays | remainingDays,User,packages/db/prisma/schema.prisma#L1822-L1837
ShiftSwap,Workforce,id | originalShiftId | proposedShiftId | initiatorId | recipientId | status | initiatedAt | acceptedAt | approvedAt | approvedBy,ScheduledShift | ScheduledShift | User | User | User,packages/db/prisma/schema.prisma#L1839-L1866
OpenShift,Workforce,id | branchId | shiftDate | startTime | endTime | position | slots | status | publishedAt | createdBy,Branch | User | OpenShiftClaims,packages/db/prisma/schema.prisma#L1868-L1896
OpenShiftClaim,Workforce,id | openShiftId | claimerId | scheduledShiftId | claimedAt | approvedAt | approvedBy,OpenShift | User | ScheduledShift | User,packages/db/prisma/schema.prisma#L1898-L1916
AvailabilityPattern,Workforce,id | userId | dayOfWeek | startTime | endTime | isAvailable,User,packages/db/prisma/schema.prisma#L1918-L1932
PerformanceReview,Workforce,id | employeeId | reviewerId | periodStart | periodEnd | overallScore | status | submittedAt,EmployeeProfile | User | PerformanceMetrics,packages/db/prisma/schema.prisma#L1934-L1957
PerformanceMetric,Workforce,id | reviewId | metricType | score | notes,PerformanceReview,packages/db/prisma/schema.prisma#L1959-L1971
PayPeriod,Workforce,id | orgId | periodNumber | startDate | endDate | status | closedAt | closedBy,Org | User | PayrollRuns | TimesheetSubmissions,packages/db/prisma/schema.prisma#L1973-L1996
PayrollRun,Workforce,id | orgId | branchId | payPeriodId | runNumber | status | calculatedAt | paidAt | processedBy,Org | Branch | PayPeriod | User | PayrollRunItems | Payslips,packages/db/prisma/schema.prisma#L1998-L2025
PayrollRunItem,Workforce,id | payrollRunId | userId | grossPay | taxAmount | netPay,PayrollRun | User | PayrollDeductions | PayrollEarnings,packages/db/prisma/schema.prisma#L2027-L2046
PayrollDeduction,Workforce,id | payrollRunItemId | type | amount | description,PayrollRunItem,packages/db/prisma/schema.prisma#L2048-L2060
PayrollEarning,Workforce,id | payrollRunItemId | type | amount | description,PayrollRunItem,packages/db/prisma/schema.prisma#L2062-L2074
Payslip,Workforce,id | payrollRunId | userId | grossPay | taxAmount | netPay | periodStart | periodEnd | payDate | generatedAt,PayrollRun | User,packages/db/prisma/schema.prisma#L2076-L2101
CompensationComponent,Workforce,id | orgId | name | componentType | calcMethod | calcValue | isActive,Org | CompensationProfiles,packages/db/prisma/schema.prisma#L2103-L2125
CompensationProfile,Workforce,id | orgId | employeeId | effectiveDate | annualSalary | hourlyRate | status,Org | User | CompensationComponents,packages/db/prisma/schema.prisma#L2127-L2148
WorkforcePolicy,Workforce,id | orgId | policyType | configJson,Org,packages/db/prisma/schema.prisma#L2150-L2162
RemittanceEntry,Workforce,id | orgId | remittanceNumber | remittanceType | periodStart | periodEnd | totalAmount | dueDate | status | filePath,Org,packages/db/prisma/schema.prisma#L2164-L2186
LaborTarget,Workforce,id | branchId | dayOfWeek | hour | targetLaborPercent | targetLaborCost | salesForecast,Branch,packages/db/prisma/schema.prisma#L2188-L2204
AutoSchedulerRun,Workforce,id | branchId | weekStart | weekEnd | status | constraintsSatisfied | generatedAt | appliedAt,Branch,packages/db/prisma/schema.prisma#L2206-L2224
KioskDevice,Workforce,id | branchId | deviceName | deviceType | ipAddress | macAddress | location | status,Branch | KioskSessions,packages/db/prisma/schema.prisma#L2226-L2248
KioskSession,Workforce,id | kioskDeviceId | userId | action | timestamp | metadata,KioskDevice | User,packages/db/prisma/schema.prisma#L2250-L2265
GeoFenceConfig,Workforce,id | branchId | centerLatitude | centerLongitude | radiusMeters | isActive,Branch | GeoFenceEvents,packages/db/prisma/schema.prisma#L2267-L2283
GeoFenceEvent,Workforce,id | userId | geoFenceConfigId | eventType | latitude | longitude | distance | timestamp | action,User | GeoFenceConfig,packages/db/prisma/schema.prisma#L2285-L2304
WaiterMetric,Staff Insights,id | branchId | userId | date | ordersProcessed | totalSales | avgOrderValue | avgServiceTime | tipTotal | feedbackScore | voidRate,Branch | User,packages/db/prisma/schema.prisma#L2306-L2332
WaiterRanking,Staff Insights,id | branchId | userId | rankingDate | overallScore | salesRank | speedRank | qualityRank | period,Branch | User,packages/db/prisma/schema.prisma#L2334-L2357
Shift,Operations,id | branchId | name | startTime | endTime | type | isActive,Branch | CashSessions,packages/db/prisma/schema.prisma#L2359-L2376
ServiceProvider,Operations,id | orgId | name | providerType | contactPerson | email | phoneNumber | terms | isActive,Org,packages/db/prisma/schema.prisma#L2378-L2398
Document,Operations,id | orgId | branchId | name | category | fileUrl | uploadedBy,Org | Branch | User,packages/db/prisma/schema.prisma#L2400-L2421
Subscription,Subscriptions,id | orgId | planId | status | startDate | endDate | mrr | nextBillingDate,Org | SubscriptionPlan | SubscriptionEvents,packages/db/prisma/schema.prisma#L2423-L2445
SubscriptionPlan,Subscriptions,id | name | tier | monthlyPrice | yearlyPrice | maxUsers | maxBranches | features,Subscriptions,packages/db/prisma/schema.prisma#L2447-L2466
SubscriptionEvent,Subscriptions,id | subscriptionId | eventType | timestamp | metadata,Subscription,packages/db/prisma/schema.prisma#L2468-L2480
AnalyticsSnapshot,Analytics,id | branchId | snapshotDate | metricType | metricValue | metadata,Branch,packages/db/prisma/schema.prisma#L2482-L2497
AuditLog,Monitoring,id | userId | orgId | branchId | action | entityType | entityId | oldValue | newValue | timestamp | ipAddress,User | Org | Branch,packages/db/prisma/schema.prisma#L2499-L2523
SystemAlert,Monitoring,id | alertType | severity | message | metadata | resolvedAt | resolvedBy,User,packages/db/prisma/schema.prisma#L2525-L2542
ReportSubscription,Reporting,id | userId | reportType | frequency | nextRunAt | config | isActive,User,packages/db/prisma/schema.prisma#L2544-L2562
